index,old_category,old_subcategory,new_category,new_subcategory,product_name
0,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"Trusscore SlatWall 12"" Sample (White)"
144,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,"1/4 In x 28 Ft Polyurethane Recoil Air Hose, Upgraded Air Compressor Hose with Repairable Bend Restrictor, Air Hose kit w/ 360° Swivel 1/4"" NPT Coupler & Brass Quick Connect Air Fittings"
145,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"Zonon 12 Pack Black Metal Slatwall Clips 2 Inch Slatwall Accessories Garage Storage Clips Commercial Slat Wall Clip for Clothing, Accessories"
314,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"6 PCS Slatwall Hat Display Rack, Slatwall Accessories for Hat Retail Display, Slat Wall Metal Wire Display Holder for Hats, Hat Display Stand for Retail -Black"
375,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"Tandefio 4 Pcs Rectangular Faceout Sign Holders for Slatwall Holds Gridwall Accessories Slatwall Information Sign Holders for Retail Store Supermarket Boutiques Display(White,7"" W X 5.5"" H)"
381,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"PROSLAT 13016 Hose/Cord Holder Designed for PVC Slatwall, 2-Pack, Steel, with Black"
397,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"VEVOR Slat Wall Paneling, 2 x 4 ft, PVC Garage Slatwall with Modular Design, Grey Slat Wall Easy-to-Install Adjustable Slatwall Panel with Coupling Structure & DIY Cutting, Fits for Storage & Display"
419,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"VEVOR Slat Wall Paneling, 2 x 4 ft, PVC Garage Slatwall with Modular Design, Black Slat Wall Easy-to-Install Adjustable Slatwall Panel with Coupling Structure & DIY Cutting, Fits for Storage & Display"
435,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Power Strip Outlet and USB Slatwall Bracket Set
446,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,4 x 4 ft Slat Wall Paneling MDF White Garage Slatwall with Modular Design
454,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"VEVOR Slat Wall Paneling, 4 x 4 ft, PVC Garage Slatwall with Modular Design, Grey Slat Wall Easy-to-Install Adjustable Slatwall Panel with Coupling Structure & DIY Cutting, Fits for Storage & Display"
457,Garage Organization,Multi-Purpose Organization,Specialty Holders,Bike Storage,"VEVOR Slatwall Panel, 16 sq.ft, Versatile Durable Slat Wall Panel with MDF Material & 3 in Groove, Aesthetic Easy to Clean Slat Wall Panel with Melamine Surface, Fit for Bicycles, Hammers, etc."
459,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"4'x4' PVC Slat Wall Paneling, High Load Capacity Slatwall Panel, Cuttable & Moisture-Proof & Flame Retardant, Heavy Duty Black Garage Slatwall Panes Storage Systems for Garage Workshop Storage"
473,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"Garage Slat Wall Storage Systems Slatwall Panels 2 Pack 4'x2', Black MDF Slat Wall Paneling for for Retail Display, Horizontal Slatted Board Garage Slatted Panel Wood Panels for Home Storage"
480,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"VEVOR Slat Wall Paneling, 8 x 4 ft, PVC Garage Slatwall without Accessories, White Slat Wall Easy-to-Install Adjustable Slatwall Panel with Coupling Structure & DIY Cutting, Fits for Storage & Display"
482,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"VEVOR Slat Wall Paneling, 8 x 4 ft, PVC Garage Slatwall without Accessories, Black Slat Wall Easy-to-Install Adjustable Slatwall Panel with Coupling Structure & DIY Cutting, Fits for Storage & Display"
485,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"[8x4 Ft²] PVC Slat Wall Paneling, Adjustable Slatwall Panels with Coupling Structure, Slatted Wall Panel System with Customizable Storage Options, DIY Cutting & Easy-to-Install Slatwall Board Shelves"
507,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Proslat Garage Storage PVC Slatwall Panel - 2 Packs of 8 ft. x 4 ft. Sections (20 Single Slats which make up 64 sq.ft) (Light Gray)
508,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,PROSLAT Garage Storage PVC Slatwall Panels -3 Packs of 8 ft. x 4 ft. Sections (96 sq.ft) (White)
510,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,PROSLAT Garage Storage PVC Slatwall Panels - 4 Packs of 8 ft. x 4 ft. Sections (40 Single Slats which Make up 128 sq.ft) (Charcoal) (Dark Gray)
519,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,Lock Pins (4-Piece)
525,Garage Organization,Multi-Purpose Organization,Bins & Baskets,Storage Containers,Large Utility Board Box
539,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,Large Storage Rubber Grip Wall Mount Holder 6.6 lbs
540,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,Small 2-7/8 in. Rubber Grip Wall Mount Holder 4.4 lbs
541,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,5 in. Peggable Vinyl Coated Power Tool Holder 1/8 in Peg
547,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,9 in. Peggable Zinc-Plated Steel Multiple Tool Holder 1/8 in Peg
549,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,1-7/16 in. L x 1/2 in. to 1 in. Steel Hold Range Standard Spring Clip (3-Pack)
551,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,3/4 in. to 1-1/4 in. Hold Range 2-1/8 in. Projection Steel Extended Spring Clips (3-Pack)
559,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,8-3/4 in Zinc-Plated Steel Wall Mount Utility Brackets (2-Pack) 20lbs
561,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Tough Stuff 16 in. Gray Bracket
567,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,1/2 in. - 1 in. Hold Range 1-1/2 in. Projection Steel Standard Spring Clip for LocBoard (5-Pack)
586,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,1.75 in. Single Ring Tool Holder (5-Pack)
589,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,1 in. - 2 in. Extended Spring Clip for or 1/8 in. and 1/4 in. Pegboard (5-Pack)
617,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,Gray Wall-Mount or Peggable Multi-Purpose Tool Storage Holder
631,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,1-1/2 in. - 2-3/4 in. Hold Range 3-3/4 in. Projection Steel Extended Spring Clip for LocBoard (5-Pack)
642,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,1-7/8 to 2-3/4 in. 2-7/8 in. Projection Steel Extended Spring Clips (5-Pack)
644,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Slatwall Drill Caddy
653,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 3-Piece 1 Pocket Mesh Wall File Holder, Wall Mounted Magazine Black 13.15 in W x 8.66 in H Metal"
659,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,PACKOUT Screwdriver Rack
665,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,PACKOUT Plier Rack
668,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,Broom and Mop Holder
678,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,17 in. Wall-Mounted White Steel Spring Grip Clip Adjustable Storage Bar
680,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,Garage Tamer 24 in. Grip-Clip
711,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,PACKOUT M12 Battery Rack
716,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,9.3 in. 8-Slot Wall Mounted Storage Rack/Bracket in Red
732,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"8-1/8 in. W Stainless Steel Multi-Prong Tool/Wrench Holder for 1/8 in. and 1/4 in. Pegboard, (1-Pack)"
745,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 6-Piece 1 Pocket Mesh Wall File Holder, Wall Mounted Black 13.15 in W x 8.66 in. H Metal"
748,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,"Ski Wall Rack, Holds 2 Pairs of Skis and Skiing Poles or Snowboard"
749,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,PACKOUT M18 Battery Rack
753,Garage Organization,Multi-Purpose Organization,Specialty Holders,Specialty Storage,PACKOUT Roll Holder
761,Garage Organization,Overhead Storage Systems,Specialty Holders,Bike Storage,Black 2-Bike Ceiling Mount Garage Bike Rack
765,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Milwaukee Battery Holder M18
772,Garage Organization,Overhead Storage Systems,Specialty Holders,Bike Storage,Black 1-Bike Hoist Garage Bike Rack
773,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Packout Screwdriver Rack (2-Pack)
775,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Slatwall Coat Bracket (2-Pack)
783,Garage Organization,Overhead Storage Systems,Shelving,Overhead Storage,125 lb. Capacity Kayak Canoe Lift Hoist Storage Rack
794,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 6-Piece 1 Pocket Mesh Wall File Holder, Wall Mounted Magazine Mail Paper and Document Storage Folder"
797,Garage Organization,Overhead Storage Systems,Specialty Holders,Bike Storage,Black 1-Bike Ceiling Mount Garage Bike Rack
798,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,2-Piece 6 Fishing Rod Storage Wall Mount Rack Easy Installation
799,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,24.25 in. H x 72 in. W x 12.5 in. D Gray/White 4-Level Wall Mounted Storage Rack
810,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Cobra 5 Item 18 in. Black Garage Door Storage Rack
813,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Sparehand Single Wall Mount Rack Storage with Safety Strap for 1 Kayak
816,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 1-Piece 16 Pockets Mesh Wall File Holder, Wall Mounted Magazine Black 12.8 in W x 40.16 in H Metal"
820,Garage Organization,Overhead Storage Systems,Specialty Holders,Bike Storage,Heavy-Duty Bicycle Garage Storage Lift Hoist (2-Pack)
827,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Black Metal Farmhouse Magazine Rack Holder
831,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 1-Piece 12 Pockets Mesh Wall File Holder, Wall Mounted Magazine Mail Paper and Document Storage Folder"
832,Garage Organization,Overhead Storage Systems,Specialty Holders,Bike Storage,Black 1-Bike Ceiling Mount Heavy Duty Garage Bike Rack
833,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,PACKOUT Tool Station
836,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,PACKOUT Long Handle Tool Rack
845,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,"Ski Storage Rack, Wall Mounted Ski Rack for 4 Pairs of Skis and Poles or Boards"
857,Garage Organization,Sports Equipment Storage,Specialty Holders,Sports Equipment,80 lbs. Sports Equipment Storage Wall Mount Garage Storage Shelves
859,Garage Organization,Multi-Purpose Organization,Specialty Holders,Bike Storage,ProGarage 4-Bike Wall Mounted Garage Bike Storage Rack
866,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Slatwall 8 in. 40 lb. Hose/Cord Holder (2-Pack)
871,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Brown Wood Farmhouse Magazine Rack Holder
877,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Natural Seagrass Freestanding Side by Side Magazine Rack
881,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,ProGarage Black Metal 21.6 in. H x 33 in. W Slatwall Panel System with Accessories (22 Piece)
882,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"File Wall Rack, 2-Piece 10 Pockets Mesh Wall File Holder, Wall Mounted Magazine Mail Paper and Document Storage Folder"
888,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Slatwall 14.6 in. H Nylon Utility Bag
889,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Slatwall Panel Kit (2-Piece)
900,Garage Organization,Overhead Storage Systems,Shelving,Overhead Storage,Aluminum SUP/Surfboard Ceiling Rack for Home and Garage Overhead Storage
904,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,18 in. x 48 in. Storage Pad
906,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Garage Slat Wall Starter Kit (8-Piece)
913,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,4 Pcs 11 in. Black Carbon Steel Heavy Duty Wall Rack with 8 Anchors and 8 Screws for Garage and Garden
915,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,4- Skis Wall Mounted Storage Racks
923,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,6 Pack 9.8 in Black Steel Wall Rack with EVA Arm Protector and Screws Anchors for Garage Storage
942,Garage Organization,Multi-Purpose Organization,Bins & Baskets,Storage Containers,Easy Panel Slatwall Accessory Assortment (16-Piece per Box)
945,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,LINK 7-Piece Wall Storage Kit
956,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Slatwall Panel Kit (4-Piece)
962,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,48 in. W Garage Wall Storage GearWall Panel (2-Pack)
995,Garage Organization,Multi-Purpose Organization,Specialty Holders,Bike Storage,ProGarage 3-Bike Floor Stand Garage Bike Storage Rack
997,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,4 Pack 17 in. Black Carbon Steel Heavy Duty Wall Rack with 8 Anchors and 8 Screws for Garage Storage
1011,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Brown Wood Traditional Magazine Rack Holder
1026,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,4 ft. x 2 ft. Outdoor PVC Slat Wall Panels Patio & Garage and Home Storage System Heavy Duty Interlocking Design in Gray
1029,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Glacik Universal Wall Mount Rack Storage with Padded Arms for 2 SUP Paddle Boards
1049,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Powder Coat Steel 7-Ski and Snowboard Storage Rack
1055,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,ProGarage Black Metal 21.6 in. H x 42 in. W Slatwall Panel System with Accessories (27 Piece)
1061,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Galvanized Pegboard and Black Peg Accessories
1062,Garage Organization,Multi-Purpose Organization,Specialty Holders,Bike Storage,2-Bike Garage Bike Rack Wall Indoor Bicycle Storage Rack Stand
1064,Garage Organization,Multi-Purpose Organization,Specialty Holders,Sports Equipment,Powder Coat Steel 6-Ski Storage Rack
1065,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,15-Folding Chair Rack
1068,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,12 in. x 36 in. Steel Cantilever Storage Rack System in Black/Yellow (3-Pack)
1070,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Two 100 lbs Golf Bag Wall Mounted Storage Rack
1072,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,LINK 12-Piece Wall Storage Kit
1076,Garage Organization,Tire Storage,Specialty Holders,Tire Racks,ProRack 48 in. W x 28 in. H x 28 in. D Tire Storage
1079,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,White Metal Pegboard Wall Panels for Garage Tool Storage (2-Pack)
1081,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,20-Yard Tool Rack
1083,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,48 in. Aluminum Metal Groove Inserts
1085,Garage Organization,Sports Equipment Storage,Specialty Holders,Sports Equipment,Slatwall Sports Kit (13-Piece)
1098,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,Black Metal Pegboard Wall Panels for Garage Tool Storage (2-Pack)
1102,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Gray Pegboard and Black Peg Accessories
1104,Garage Organization,Multi-Purpose Organization,Bins & Baskets,Storage Containers,2 ft. x 4 ft. White Slatwall Easy Panel (2-Piece per Box)
1105,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"0.79 in. H x 96.46 in. W, SlatWall Panels, PVC Garage Slatwall with Modular Design, White Slat Wall Easy-to-Install"
1109,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,"Stackable Hanging Wall Files Rack 3-Tier Metal Folder with Tag Slot Mounts on Wall and Door for Office, Black"
1111,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Green Pegboard and Black Peg Accessories
1112,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Gray Pegboard and White Peg Accessories
1113,Garage Organization,Multi-Purpose Organization,Shelving,Storage Solutions,LINK 15-Piece Wall Storage Kit
1115,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,GearWall 12 in. H x 96 in. W Slatwall Kit in Smoke (2-Pack)
1124,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Black Pegboard and Black Peg Accessories
1125,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Gray Pegboard and Blue Peg Accessories
1127,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Freestanding Kayak Storage Rack for 2 Kayak Canoe Paddleboardwith Padded Arms and Adjustable Width 175 lbs. Max Load
1128,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,32 in. x 48 in. Metal Pegboard Standard Tool Storage Kit with Black Pegboard and Blue Peg Accessories
1136,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,"Slat Wall Paneling, 0.78 in. H x 96.45 in. W SlatWall Panels in White 1-Pack, PVC Garage Slatwall with Accessories"
1138,Garage Organization,Sports Equipment Storage,Specialty Holders,Sports Equipment,Powder Coat Steel Large Sports Storage Rack
1144,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,PACKOUT 20 in. H x 22 in. W Slatwall Accessories Black Resin Racking Kit with Metal Reinforced Frame and Handle
1153,Garage Organization,Multi-Purpose Organization,Rails & Tracks,Wall Systems,White Metal Pegboard Wall Panels for Garage Tool Storage (4-Pack)
1155,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,17 in. 3-Level Adjustable Metal Lumber Storage Rack for Shed Garage Workshop
1156,Garage Organization,Multi-Purpose Organization,Shelving,Storage Racks,Black 2- Kayak Freestanding Storage Rack
