consumer	file_id	filename	start	end	text
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	1.58	7.42	So the challenging portion of the project was really not necessarily putting in the installation,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	7.42	14.02	but deciding how to brace it with the aforementioned hole that was behind it.
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	14.04	21.75	Once removing the doorbell chime and having the exposed wiring, having to cap everything off,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	22.41	25.87	and deciding whether or not I was going to hardwire something behind that,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	25.87	32.01	and then coming to the realization that the hardwire just was not the best way to go about it,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	32.61	39.29	because I'm not an electrician and I don't necessarily know how to reconvert the power back to where it needed to be.
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	40.15	43.73	So I capped everything off, got everything back where it needed to go,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	44.57	55.67	and went ahead and decided that a piece of board behind the battery-operated light would be the best opportunity,
AlanG	AlanG_Activity8PainPoints_2025-07-07_114433_1	AlanG_Activity8PainPoints_2025-07-07_114433_1.MOV	55.67	56.89	and the best way to go about it.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	1.17	21.57	If I was to take on another project similar to this, again, I would do some more research, get a little bit more electrical knowledge, if you will, because it made it a little difficult when finding the time to figure out which way to go ahead and go about making the light illuminate.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	21.57	43.87	You know, at first I was, I got something different, wanted to put it up and realized that I didn't have enough power going to it because of the damperage or the conversion of the wiring because doorbell chimes are tamped down from the amperage that they, you know, typical 110 to whatever the low voltage or low amperage that they need to be.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	44.23	47.19	And having that knowledge would help.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	48.19	51.01	Having a little bit better electrical tools would definitely help as well.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	51.01	57.97	Just knowing, having the knowledge of, and the background, it's probably a little bit better next time.
AlanG	AlanG_Activity9FutureImprovements_2025-07-07_114608_1	AlanG_Activity9FutureImprovements_2025-07-07_114608_1.MOV	58.89	60.13	Leave it to the professionals, folks.
AlanG	AlanG_Q1_2025-06-23_092217_1	AlanG_Q1_2025-06-23_092217_1.mov	1.23	24.22	Here's the picture light illuminating a nice cutout in my mirror.
AlanG	AlanG_Q1_2025-06-23_092217_1	AlanG_Q1_2025-06-23_092217_1.mov	24.22	30.49	Just chose to do this rather than anything else because of the way I can disconnect it
AlanG	AlanG_Q1_2025-06-23_092217_1	AlanG_Q1_2025-06-23_092217_1.mov	30.49	39.75	very easily and slide it back on.
AlanG	AlanG_Q1_2025-06-23_092217_1	AlanG_Q1_2025-06-23_092217_1.mov	39.75	41.14	Very powered.
AlanG	AlanG_Q1_2025-06-23_092217_1	AlanG_Q1_2025-06-23_092217_1.mov	41.14	41.64	It's great.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	0.98	15.14	Hello. I would say the biggest, not really frustration, but difficulty with the lighting styles we were installing definitely was the recessed canned lighting,
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	15.14	40.34	just because there's so much more involved when you're hardwiring the lighting into the electrical versus, you know, assembling a lamp or, you know, just using something that attaches to the frame of a picture and doesn't have any cords like the picture frame lighting.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	40.34	45.12	So not that it, like I said, is frustrating.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	45.14	49.84	It's just a little bit more difficult to install the canned lighting.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	50.7	67.26	I could only take the process so far because I have no idea what's involved and how to attach it correctly with the electrical wires.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	68.26	75.12	So in that way, you know, I did feel a little bit helpless because I wasn't able to see the project all the way through.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	75.14	91.42	I was able to, you know, purchase what I wanted and cut the hole in the ceiling, marking it in the location that I got okayed, and then cutting the hole in the ceiling, and then I kind of had to hand it off from there.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	92.08	98.26	So it was definitely a partner job to get that one done.
AlysonT	AlysonT_Activity8PainPoints_2025-07-06_102432_1	AlysonT_Activity8PainPoints_2025-07-06_102432_1.webm	98.7	99.2	Thank you.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	0.91	11.04	Hello, if I were to do a similar project again, for example, the hard wiring of the recessed can lighting,
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	12.04	25.63	I guess doing it that way is because in the area where we were installing it, we're very limited with options.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	25.63	40.85	So I would like a feature, I would prefer track lighting if we could fit it in that area, but the ceiling is a little bit too low for that.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	41.85	50.85	So you always have to take that in consideration, putting in track lighting, how much it's going to drop, you know, down from the ceiling.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	51.85	55.72	So having some kind of, I guess, concept.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	56.72	79.72	A combo of recessed can lighting, but still having track lighting features that you can adjust it a little bit more subtle or have it multiple lights moving different directions, but then not taking away from the ceiling height.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	80.72	85.72	Those are features that I would like to include in the next project.
AlysonT	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1	AlysonT_Activity9FutureImprovements_2025-07-06_102808_1.webm	86.72	98.72	Hopefully I can find something that would work, especially in the situation where you have a lower ceiling and you want some more stylized lighting there.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	1.58	18.26	Hello, this is an example of a picture light that is rechargeable with batteries or also can connect to a USB cord for power also.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	18.26	39.76	And I have it illuminating a classic art piece print that I got. And it's very subtle, but it does give some spotlight just to accent the picture without any direct overhead light on it. Thank you.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	40.9	48.76	Hello, this is an example of a floor lamp that I put under a piece of art so it would shine up.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	48.78	59.78	On the artwork, it's a little hard to tell, but the artwork, the background in between the squares is a iridescent metal.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	60.68	66.12	So when the light shines on it is when it really comes to life and you can see all the colors.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	66.48	79.86	Hello, this canned spotlight is in a hallway to illuminate various pieces of art. For example, this sculpture on the wall.
AlysonT	AlysonT_Q1_2025-06-23_021844_1	AlysonT_Q1_2025-06-23_021844_1.mov	80.22	94.45	And then also this picture diorama of a live bat. Also in this area to have illuminated by this canned spotlight. Thank you.
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	0.0	5.26	it was pretty easy the technique I used I just needed to make sure that I
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	5.26	11.62	used tape that was sticky enough to stick not only to the lighting but also to the wall it gets
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	11.62	18.38	really really hot here we're in Arizona so I wanted something that would stick and stay
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	18.38	26.14	and I'd have had a couple fall so that was a little a little bit challenging so all I did
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	26.14	34.42	was actually just take the tape off and reinstall it and I actually had the I put the tape on the
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	34.42	42.32	lighting itself let it sit kind of adhesed to the lighting itself and then I attached it to the wall
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	42.32	49.02	and I actually held it there like held my hand there on it to push it against for a little while
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	49.02	55.12	just for it to adhese and I haven't knock on wood had any problems with them falling
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	55.12	56.12	um
CarrieS	CarrieS_Activity8PainPoints_2025-06-30_094337_1	CarrieS_Activity8PainPoints_2025-06-30_094337_1.MOV	56.14	62.02	but that was my only alternative to not having them on the ground which I did not want
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	0.78	3.14	I don't actually think I would do anything differently.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	4.55	7.51	In my situation with my turf, I can't.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	8.25	9.63	I like the way it looks.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	9.63	14.69	You don't notice the lighting fixtures itself in the daytime.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	14.95	18.75	It's just kind of part of the wall, and that's kind of how I wanted it.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	19.03	23.15	So I don't know if I would do anything differently.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	23.33	28.45	I think it's great, and it does what it's supposed to.
CarrieS	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1	CarrieS_Activity9FutureImprovements_2025-06-30_094457_1.MOV	28.55	29.47	It serves its purpose.
