id,updated,rating,version,author,title,content,vote_count
13388134923,2025-11-12T02:25:59-07:00,1,42.5.0,احمد ابوهلال,لما ارسل مقطع بصديقي يفصل النت تمام عن التيك توك وما يشتغل بتاتا,لما ارسل مقطع بصديقي يفصل النت تمام عن التيك توك وما يشتغل بتاتا,0
13388101415,2025-11-12T02:12:52-07:00,4,42.5.0,Changbins fan girl,Why are you deleting my account?,"Hey so. I was just minding my own business and suddenly I got a warning saying that I was under the age of 13, and which that was not true. I have tried everything. But nothing. So TikTok if you’re reading this please bring back my account.",0
13387913819,2025-11-12T00:54:55-07:00,5,42.5.0,Emmy Lou 💋,edits,"i love seeing the edits, only of matt dillon though.",0
13387841124,2025-11-12T00:23:15-07:00,1,42.5.0,Artistic274G,TikTok shop,"Sexually suggestive ad have been coming on my feed in tik tok shop. It’s making me really uncomfortable that it’s causing me a lot of emotional stress. 

Make it easier to report ads that your ai systems can’t recognize as violations. These ads show men’s touching themselves. And when filters are put on images in the comments people get away with posting porn. 

Get real humans to monitor these reports",0
13387707993,2025-11-11T23:24:42-07:00,3,42.5.0,Chalinó,Stop doing random updates,"There’s been a lot of unnecessary updates to the app and I am not pleased by them. From me not being able to hide in the comments anymore to the comments opening when I try to view the full caption of the video, I think some things should be reverted or there should be some accessible settings.",0
13387575451,2025-11-11T22:24:23-07:00,1,42.5.0,Tacoshea,Awful,This app is controlled by racist Zionist rats and pushes nothing but right wing Manosphere content,0
13387569161,2025-11-11T22:21:33-07:00,5,42.5.0,tocutetobehiden,Search Bar,"I love TikTok so much especially the new add pictures to the comment section update, but TikTok should really put a search bar where the saved videos are at so like if the video you are looking for is too far away and you forgot to add it to a collection, you can just search it up and find it. That would be so fire.",0
13387567984,2025-11-11T22:21:00-07:00,1,42.5.0,d3ggo,Did not get my $50 for inviting someone new,It’s been a month and today they closed out my ticket with no real answer they sent the same electronic message every time I would ask anything,0
13387535425,2025-11-11T22:06:01-07:00,5,42.5.0,stepbro9962,5STARZ,"tiktok is pretty chill, but i strongly recommend adding highlights on them because is like my story be kool atp am like man I cant even put them in hightlights.",0
13387388349,2025-11-11T20:57:43-07:00,1,42.5.0,Starmxce,The new update is awful,"Words cannot describe how much I despise the new update. There’s not a single thing I like about it. The comment section isn’t even dark anymore; it’s this ugly gray that looks so out of place with the theme, and my collections’ front covers look even more awful. It’s one of the most useless updates possible to ever exist upon an app, and I regret ever updating it. The previous version was much better and more practical. I pray it gets changed.",0
13387382470,2025-11-11T20:55:02-07:00,5,42.5.0,Truhfhf,Skibidi,Ball,0
13387382238,2025-11-11T20:54:56-07:00,5,42.5.0,em3raldQuartz,The new ui on ipad is really bad.,"Please, can we go back to the buttons being big? Why are they MICROSCOPIC??? I keep accidentally clicking the auto scroll and follow buttons, thinking it’s the like and comment buttons. Please?? Don’t get me wrong, I love TikTok, but not this tiny ui update.",0
13387343041,2025-11-11T20:37:09-07:00,1,42.5.0,NglMud,Worst app oat,Ngl twin ts bunz,0
13387341346,2025-11-11T20:36:24-07:00,1,32.0.4,k1n9bur93r,Abandonware?,"I enjoyed having TikTok on my Vision Pro, however, in time since it’s lunch, the app has become more and more unstable to the point where it will no longer load any videos past the thumbnail. Unfortunate!",0
