id,updated,rating,version,author,title,content,vote_count
13388146468,2025-11-12T02:30:26-07:00,1,20.45.3,mkv1313,Horrible,The app literally keeps shutting down and won’t even let you watch a video!!! Wtheck,0
13388133316,2025-11-12T02:25:21-07:00,1,20.45.3,J05U4LCLARK,Too many ads and tracking,"UPDATE: The ads have gotten even worse. I can’t even skip them now. They’re too long and too frequent. Your subscription is also way too much money for what you get. I also don’t want to see suggestive pictures nor AI generated suggestive pictures. The stuff you people advertise is disgusting and gross. 

See above, it’s absurd it’s this bad. I’m going to start using other services. I already started going elsewhere for music and that’s what I mostly used the app for anyways",0
13388019045,2025-11-12T01:39:30-07:00,1,20.45.3,Pokemonlover009,AI,The AI moderators and filters have really pulled down YouTube’s quality. Not to mention  how easily the AI moderators are abused by bad actors allows people to be banned far too easily. Fix this.,0
13388016870,2025-11-12T01:38:36-07:00,5,20.45.3,kiLLbo0RN,How to do,and more,0
13387974575,2025-11-12T01:20:42-07:00,5,20.45.3,I36V,Good app,10/10,0
13387867907,2025-11-12T00:34:57-07:00,3,20.45.3,DigiMan66,Mid word! Do not recommend.,"Insisting ads, I understand advertising and. That is how you make money, but cutting in mid sentence and even worse mid word is deplorable! Also when I say do not recommend a channel many times and it keeps coming back…. Something is wrong. Also, why are you auto playing videos I have already watched?",0
13387810424,2025-11-12T00:09:55-07:00,1,20.45.3,The truth hurts777,Age verification,"So are we going to go after peoples irl identityig we dont like them, you dont need to have age verification with a phote or id, if you do what if you get hacked its a cybersecurity risk. I dont want my identity to be stolen. Also people are just going to kick now cuz of u. We cant watch videos cuz we not of age mmmmmm, who decides if its  not of age? Censorship. You know most people are not going go put id or move so you can now censor people. If your going to say oh its cux child safty oh go f yourself. You dont give a f about child safety if you did, you make three apps. Youtube kids, youtube teen, youtube adult. Where youtube adult is the og youtube. So if you have enough money to own computer most likely your an adult of a child of a neglectful parent. Dont be a dictator youtube, you want more control cuz a parent cant do their dam job really.",0
13387734542,2025-11-11T23:36:35-07:00,5,20.21.6,0kdjdjkdnd,YouTube animated,So I love it but I’m new to animate and make videos and that stuff but I got somth8ng like u can’t upload anyth8ng else and they have to check if your a robot even I pressed I’ll make a history or something like that but nothing wont work and I can’t make videos so idk what’s going on?,0
13387702321,2025-11-11T23:22:11-07:00,1,20.45.3,Qaaaack,Stop the ID fishing bull,We all know that the “verify your age” is just to link our accounts with the real world for easier data mining.,0
13387522005,2025-11-11T21:59:48-07:00,5,20.45.3,papasaaguadas18,Thank you,Thank you for letting me watch videos of apostolicoa del nombre channel,0
13387481479,2025-11-11T21:40:55-07:00,1,20.45.3,Alleycat 2 eight 4 six,Going down hill,I got 4 ads while watching a 26 minute video…,0
13387468581,2025-11-11T21:34:53-07:00,3,20.45.3,Buddy0lpal,Too many frequent ads,Annoying,0
13387464932,2025-11-11T21:33:13-07:00,1,20.45.3,Globelle75,I HATE IT!,"Because I now have to verify my age when I click the video that I want to watch, and many ads are very annoying.",0
13387445974,2025-11-11T21:24:19-07:00,5,20.45.3,Maddie’s game 🩷🙈🤏🏽🤏🏽,Yesterday,Yessss,0
13387432538,2025-11-11T21:18:00-07:00,1,20.45.3,CashappIstrash97,Premium is disgustingly expensive,"I’ll just keep setting my phone down during ads, you greedy pigs.",0
13387345944,2025-11-11T20:38:25-07:00,5,20.45.3,NecaLynn7,Greatness,YouTube!,0
13387335812,2025-11-11T20:33:56-07:00,1,20.45.3,Kimhap houk,Advertisement too many.,You have to reduce advertising in one video just only one. It too many,0
13387324566,2025-11-11T20:28:45-07:00,1,20.45.3,Obbkvyvucuc,Minha pomba grossa e dura,"Aproveitar aqui enquanto eu assisto um anúncio de simplesmente 60 segundos, faz favor né YouTube, PORRA! Um anúncio de 60 segundos? 
Por isso que todo mundo gosto de entrar e sair do vídeo toda hora, pq ninguém é obrigado a assistir essas porcarias não, e ainda por cima tiraram a única opção de pular anuncio aí agora só tem como “bloquear” KAKKKKKKKKKKK PELO DE DEUS NÉ PAI",0
13387317895,2025-11-11T20:25:41-07:00,3,20.45.3,fixit102,way to many ads,literally every 2 mins there’s a new ad it’s irritating just wanting money,0
13387312383,2025-11-11T20:23:08-07:00,5,20.45.3,Kade Hege,How YouTube is great.,"YouTube is a great place to relax and enjoy watching something like games, sports, movies and stuff like that so YouTube thank you cause you are one of the biggest things out there. Thank you",0
13387307917,2025-11-11T20:21:07-07:00,5,20.45.3,Canciones a mi papa y amami,"Videos,music and life streams",Blanquita,0
13387261255,2025-11-11T20:00:08-07:00,1,20.45.3,RDM10005,Complaint,"YouTube cancels out anyone challenging global Jewish oligarch narratives, hardly a bastion of free speech and expression.",0
13387242252,2025-11-11T19:51:58-07:00,5,20.45.3,Faqkiller,Love YouTube,I love YouTube!! Ever since 2006 !!! I go to YouTube for everything!!!,0
13387230440,2025-11-11T19:46:55-07:00,1,20.45.3,无女之声,白猪,白猪,0
13387225698,2025-11-11T19:44:51-07:00,1,20.45.3,Fun oof,Annoying,I’m just trying to upload a video for YouTube and I wanna put my thumbnail and it’s says I need a phone number and I don’t a HAVE A PHONE NUMBER LIKE IT JUST CANT BE EMAIL LIKE IM SO FREAKING UPSET AND ITS NOT EVEN FUNNY.,0
13387223683,2025-11-11T19:44:01-07:00,5,20.45.3,Rowan Turnes,My rate,So good. I can watch whatever I want. Nothing wrong with,0
13387217457,2025-11-11T19:41:27-07:00,1,20.45.3,Skull Rocker 93,Stop annoying me with this!!,Stop asking me every time if I want to “connect my devices”. That pop-up notification is annoying so STOP IT ALREADY!!!,0
13387204271,2025-11-11T19:35:49-07:00,1,20.45.3,WillBossyBoss,FIX YOUR ADD TO PLAYLIST OPTION!!!!!!!!!,"It was so good until your most recent update. Now to we gotta add a video back that we do wanna watch, we gotta click the video, take the video off the playlist, press the playlist button again, WAIT FOR IT TO BUFFET (worst part), then add it again. What were you thinking?! Please fix, then up can get 5 stars. (Still waiting)",0
13387201332,2025-11-11T19:34:34-07:00,5,20.45.3,tspkon,tig,hggff,0
13387179975,2025-11-11T19:25:41-07:00,5,20.45.3,Chel93!,You got to watch so much on here,5’000,0
13387176695,2025-11-11T19:24:20-07:00,1,20.45.3,hdjsfk,Get rid of the AI,"YT has progressively gotten worse over time. The “quality of life” changes they’ve made over the past few years have all negatively impacted YT. Not to mention the horrible AI age verification system. The shorts even have an excessively smooth fake look to them. And NOW, more recently they’ve put up these dumb restrictions, that in order to lift you’ll need a drivers license, picture of yourself, or credit card. Which I’m surprised nobody’s mentioned this so far, but that’s a HUGE privacy violation! To get rid of something which was put up by YT’s stupid AI. Genuinely ridiculous.",0
13387167225,2025-11-11T19:20:28-07:00,5,20.45.3,Hateme28#22,Worth it,Great,0
13387164046,2025-11-11T19:19:09-07:00,5,20.45.3,Carvalhommo,Melhor aplicativo para vídeos,"Uso o YouTube faz mais de 7 anos e me surpreendi muito, alem de ser um aplicativo para fotos vídeos e shorts, consegue fazer meu dia feliz…",0
13387157044,2025-11-11T19:16:14-07:00,5,20.45.3,Sigma girlll,YouTube,YouTube is great. I love it.it is great. Good streamers. Good content. Good  stuff.,0
13387109042,2025-11-11T18:56:27-07:00,5,20.45.3,Ana zk,Cool cats,YouTube is awesome you could watch what ever you want for free,0
13387097651,2025-11-11T18:51:49-07:00,5,20.45.3,Pichilo06,Jose06,0624,0
