video_id,url,title,brand,views,upload_date,channel,duration_seconds,video_type,sentiment,sentiment_confidence,max_weight_lb,weight_range_lb,damage_free,removable,no_tools_required,heavy_duty,waterproof,permanent,indoor_outdoor,outdoor_rated,pain_points,benefits,use_cases,has_transcript
xUJ6VqeYfeU,https://www.youtube.com/watch?v=xUJ6VqeYfeU,Top 5 Picture Hanging Tips,Command,1006509,20190815,Coral Hoyt,,problem|tips,negative,0.9,3,3,,True,,,,,,,surface_damage:1,rental_friendly:2|easy_installation:1,picture_hanging:2|decoration:1|diy_projects:1|heavy_items:1,True
docWg4iJvBU,https://www.youtube.com/watch?v=docWg4iJvBU,How To Use Command Strips— Applying Picture Hanging Strips,Command,789117,20220818,Command,,tutorial,neutral,0.7,,,,,,,,,,,,strong_hold:1,picture_hanging:4|decoration:1,True
MXLYTvEB9M0,https://www.youtube.com/watch?v=MXLYTvEB9M0,How To Install A Command Hook-Hang Stuff On The Wall,Command,672878,20160404,Helpful DIY,,tutorial|problem,neutral,0.7,,,,,,,,,,,surface_damage:1,,picture_hanging:1|diy_projects:1|heavy_items:1,True
leLpogi2ytI,https://www.youtube.com/watch?v=leLpogi2ytI,Install Acoustic Foam Fast! Without damaging your wall!,Command,645280,20171114,Andrew Kan,,tutorial|tips,neutral,0.7,,,,,,,,,,,,time_saving:1|value_for_money:1,acoustic_treatment:3|heavy_items:1,True
PsjtpXSuBwo,https://www.youtube.com/watch?v=PsjtpXSuBwo,Will Acoustic Foam Soundproof a Room?,Command,596015,20210928,Soundproof Guide,,tutorial,neutral,0.7,,,,,,,,,,,price_too_high:1,,acoustic_treatment:3|picture_hanging:1|heavy_items:1,True
mY9QLFR6Ji8,https://www.youtube.com/watch?v=mY9QLFR6Ji8,Home Staging Tips: Using Command Strips to Hang Wall Art by Tori Toth,Command,516325,20141215,Home Staging TV,,tutorial|tips,neutral,0.7,,,,,,,,,,,,easy_installation:1|rental_friendly:1,picture_hanging:2|decoration:1|renter_friendly:1|acoustic_treatment:1,True
RXqcH1Cot6k,https://www.youtube.com/watch?v=RXqcH1Cot6k,How To Use The 3M Command Strips To Hang Pictures Planners Chalk Boards And More,Command,478420,20200129,Welding and stuff,,tutorial,neutral,0.7,16,16,,,,,,,,,,easy_installation:1|time_saving:1,picture_hanging:1|decoration:1,True
V_lfoIByA7g,https://www.youtube.com/watch?v=V_lfoIByA7g,"How to hang an IKEA pegboard without screws, using Command Strips",Command,388152,20190730,My Inspiration Corner,,tutorial|problem,neutral,0.7,,,,,,,,,,,,easy_installation:2|time_saving:1,diy_projects:2|picture_hanging:1|decoration:1|shelving:1|office:1|heavy_items:1,True
1nG4IVnVQdI,https://www.youtube.com/watch?v=1nG4IVnVQdI,3M Command™ Picture Hanging Strips - How To Use,Command,289494,20170717,Hardware Specialist,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:2,easy_installation:2|time_saving:1,picture_hanging:2|decoration:1|shelving:1|heavy_items:1,True
-7969X2nffo,https://www.youtube.com/watch?v=-7969X2nffo,How to Use 3M Command Strips & hang Pictures on your walls without Damage (Instructions),Command,285309,20221224,Littleguy Big Reviews,,tutorial,neutral,0.7,,,,,,,,,,,,,picture_hanging:1|renter_friendly:1,True
f_2CGR_EopU,https://www.youtube.com/watch?v=f_2CGR_EopU,Hang Heavy Frames up to 9kg with Command™ XL Picture Hanging Strips,Command,263046,20250415,3M UK & Ireland,,problem,negative,0.9,,,,,,,,,,,,strong_hold:1|easy_installation:1,picture_hanging:2|heavy_items:2,True
TYWZgfwzr9Y,https://www.youtube.com/watch?v=TYWZgfwzr9Y,Removing Command Strips without Stripping Paint,Command,221650,20221018,Lauren Clutter,,general,neutral,0.6,,,,,,,,,,,,,,True
hR1bKoU1b04,https://www.youtube.com/watch?v=hR1bKoU1b04,15+ BRILLIANT Home Hacks Using Command Hooks!,Command,216185,20210219,Brittany Vasseur,,tutorial|tips,neutral,0.7,,,True,,,,True,,,,,damage_free:1|easy_installation:1|professional_results:1,organization:3|decoration:2|kitchen:2|diy_projects:2|picture_hanging:1|shelving:1|bathroom:1|renter_friendly:1|heavy_items:1,True
1E_421pfNr4,https://www.youtube.com/watch?v=1E_421pfNr4,The Holy Grail of Wall Hooks! Why Damage Your Walls?,Command,147681,20211126,The Funny Carpenter,,tutorial|comparison,neutral,0.7,,,,,,,,,,,,value_for_money:1,picture_hanging:1|heavy_items:1,True
