video_id,url,title,brand,views
sSUtjpY9gaE,https://www.youtube.com/watch?v=sSUtjpY9gaE,Picture Hanging Hack – Hanging Pictures Level,3M Claw,8394682
OUB_KFvVEd0,https://www.youtube.com/watch?v=OUB_KFvVEd0,Introducing Scotch-Mount™ Multipurpose Gel Tape (:30),Scotch,7804334
UbXy3c2oAfA,https://www.youtube.com/watch?v=UbXy3c2oAfA,Which Duct Tape Brand is the Best?  Let's find out!,Scotch,4851719
hDxebMTfAo8,https://www.youtube.com/watch?v=hDxebMTfAo8,3M™ CLAW Drywall Picture Hanger Video 45 seconds,3M Claw,3581255
WFAOxhKARvA,https://www.youtube.com/watch?v=WFAOxhKARvA,The Easiest and Fastest Way to Hang Heavy Things,3M Claw,3029323
u5BBfK-P1XM,https://www.youtube.com/watch?v=u5BBfK-P1XM,3M Scotch® Extreme Double-Sided Mounting Tapeพลังการยึดติดที่แข็งแกร่ง,Scotch,2813638
2__lmMVYS6A,https://www.youtube.com/watch?v=2__lmMVYS6A,"Which Masking Tape is the Best?  Frog Tape ve Duck Pro, Stik Tek, 3M, Scotch, Dollar General",Scotch,1089538
xUJ6VqeYfeU,https://www.youtube.com/watch?v=xUJ6VqeYfeU,Top 5 Picture Hanging Tips,Command,1006509
E66puf77Lbk,https://www.youtube.com/watch?v=E66puf77Lbk,The END Of Drywall Anchors?! Fastest And Easiest Way To Hang Heavy Items! LETS TEST IT! How To DIY,3M Claw,843290
docWg4iJvBU,https://www.youtube.com/watch?v=docWg4iJvBU,How To Use Command Strips— Applying Picture Hanging Strips,Command,789117
_6n7sBQbuTQ,https://www.youtube.com/watch?v=_6n7sBQbuTQ,3M CLAW™ Plasterboard and Drywall Picture Hanger - Strength and Ease English Video,3M Claw,694822
MXLYTvEB9M0,https://www.youtube.com/watch?v=MXLYTvEB9M0,How To Install A Command Hook-Hang Stuff On The Wall,Command,672878
leLpogi2ytI,https://www.youtube.com/watch?v=leLpogi2ytI,Install Acoustic Foam Fast! Without damaging your wall!,Command,645280
_sBVEPslwZY,https://www.youtube.com/watch?v=_sBVEPslwZY,Best Electrical Tape (Vinyl Tape)?  Lets find out!,Scotch,634604
PsjtpXSuBwo,https://www.youtube.com/watch?v=PsjtpXSuBwo,Will Acoustic Foam Soundproof a Room?,Command,596015
mY9QLFR6Ji8,https://www.youtube.com/watch?v=mY9QLFR6Ji8,Home Staging Tips: Using Command Strips to Hang Wall Art by Tori Toth,Command,516325
